Text,Category,Label,KG_Sent1,KG_Sent2
RT @finelinetay: imagine going to a Paul McCartney concert with harry i’m so soft  https://t.co/YAzsGadIQn,entertainment,1,RT @finelinetay: imagine going to a Paul McCartney(Singer-songwriter) concert with harry i’m so soft https://t.co/YAzsGadIQn,RT @finelinetay: imagine going to a Singer-songwriter concert with harry i’m so soft https://t.co/YAzsGadIQn
RT @boulezian: Had a medical appointment this morning. Was told the EHIC would no longer be valid for UK citizens after 31 January. It’s ha…,medical,2,RT @boulezian: Had a medical appointment this morning. Was told the EHIC(Nonprofit organization) would no longer be valid for UK citizens after 31 January. It’s ha…,RT @boulezian: Had a medical appointment this morning. Was told the Nonprofit organization would no longer be valid for UK citizens after 31 January. It’s ha…
@NotLikeFreddy Lots of really good character intros in The Quick and the Dead. That movie is also great for how muc… https://t.co/gan4R2br91,entertainment,1,@NotLikeFreddy Lots of really good character intros in The Quick and the Dead. That movie is also great for how muc… https://t.co/gan4R2br91,@NotLikeFreddy Lots of really good character intros in The Quick and the Dead. That movie is also great for how muc… https://t.co/gan4R2br91
"RT @m___lalalalisa: Are you ready for #AWESOMELIVE tomorrow?

— GalaxyA Launching
— Blackpink Exclusive Fan Meeting

Date: 20|01|14
Time: 5…",sports,0,RT @m___lalalalisa: Are you ready for #AWESOMELIVE tomorrow? — GalaxyA Launching — Blackpink Exclusive Fan Meeting Date: 20|01|14 Time: 5…,RT @m___lalalalisa: Are you ready for #AWESOMELIVE tomorrow? — GalaxyA Launching — Blackpink Exclusive Fan Meeting Date: 20|01|14 Time: 5…
"RT @GOPChairwoman: Democrats should be embarrassed.
 
https://t.co/2Miba4hJca",politics,3,RT @GOPChairwoman: Democrats should be embarrassed. https://t.co/2Miba4hJca,RT @GOPChairwoman: Democrats should be embarrassed. https://t.co/2Miba4hJca
"Check out AC/DC Rare Vintage 2000 Stiff Upper Lip Concert T Shirt XL Mint,1 Of A Kind https://t.co/kUj81IrcGd @eBay… https://t.co/Lryq56eGD0",entertainment,1,"Check out AC/DC Rare Vintage 2000 Stiff Upper Lip Concert T Shirt XL Mint,1 Of A Kind https://t.co/kUj81IrcGd @eBay… https://t.co/Lryq56eGD0","Check out AC/DC Rare Vintage 2000 Stiff Upper Lip Concert T Shirt XL Mint,1 Of A Kind https://t.co/kUj81IrcGd @eBay… https://t.co/Lryq56eGD0"
RT @TeaPainUSA: Trump’s toilet politics. https://t.co/PVnglqBbJ1,politics,3,RT @TeaPainUSA: Trump’s toilet politics. https://t.co/PVnglqBbJ1,RT @TeaPainUSA: Trump’s toilet politics. https://t.co/PVnglqBbJ1
Why do we need immigrants? 👇 People like Jonny Kim is why!https://t.co/sLIygOBbSo,medical,2,Why do we need immigrants? 👇 People like Jonny Kim(American physician) is why!https://t.co/sLIygOBbSo,Why do we need immigrants? 👇 People like American physician is why!https://t.co/sLIygOBbSo
"RT @TheStagerTv_: #Pattas Tamil Movie Review by Dr. R. Suresh Kumar. Watch unbiased and standard review

Here ▶️ https://t.co/KuaWUgcbHP

K…",entertainment,1,RT @TheStagerTv_: #Pattas Tamil Movie Review by Dr. R. Suresh Kumar(Film producer). Watch unbiased and standard review Here ▶️ https://t.co/KuaWUgcbHP K…,RT @TheStagerTv_: #Pattas Tamil Movie Review by Dr. Film producer. Watch unbiased and standard review Here ▶️ https://t.co/KuaWUgcbHP K…
@RagavanRaama Yes! Maybe for budget irukkalam. Nalla movie theriyama ponnadu varatham.,entertainment,1,@RagavanRaama Yes! Maybe for budget irukkalam. Nalla(TV show) movie theriyama ponnadu varatham.,@RagavanRaama Yes! Maybe for budget irukkalam. TV show movie theriyama ponnadu varatham.
"RT @Phil_Blackmon: These are the most electorally vulnerable Republican Senators.
https://t.co/ZWsAvzgIbW",politics,3,RT @Phil_Blackmon: These are the most electorally vulnerable Republican Senators. https://t.co/ZWsAvzgIbW,RT @Phil_Blackmon: These are the most electorally vulnerable Republican Senators. https://t.co/ZWsAvzgIbW
the matching nike tennis skirts 🥺 https://t.co/QO9b4lxsy4,sports,0,the matching nike tennis skirts 🥺 https://t.co/QO9b4lxsy4,the matching nike tennis skirts 🥺 https://t.co/QO9b4lxsy4
"Vijayawada today (15/1/2020)
#AlaVaikunthapurramuloo 4th Day

Noon Shows : 4/4 Fulls 
Matinee shows : 4/4 Fulls
Fir… https://t.co/nJlXlaNQW2",entertainment,1,Vijayawada today (15/1/2020) #AlaVaikunthapurramuloo 4th Day Noon Shows : 4/4 Fulls Matinee shows : 4/4 Fulls Fir… https://t.co/nJlXlaNQW2,Vijayawada today (15/1/2020) #AlaVaikunthapurramuloo 4th Day Noon Shows : 4/4 Fulls Matinee shows : 4/4 Fulls Fir… https://t.co/nJlXlaNQW2
RT @calgaryherald: Human Rights Watch report blasts China as its chief barred from Hong Kong https://t.co/sLkS8pB1Oy https://t.co/DL3FPP2tH8,politics,3,RT @calgaryherald: Human Rights Watch report blasts China as its chief barred from Hong Kong https://t.co/sLkS8pB1Oy https://t.co/DL3FPP2tH8,RT @calgaryherald: Human Rights Watch report blasts China as its chief barred from Hong Kong https://t.co/sLkS8pB1Oy https://t.co/DL3FPP2tH8
"RT @vantescnry: ""If we were to have a concert, seeing our fans, ARMY, smile would heal our souls” -Kim Taehyung 

please he’s so precious i…",entertainment,1,"RT @vantescnry: ""If we were to have a concert, seeing our fans, ARMY, smile would heal our souls” -Kim Taehyung please he’s so precious i…","RT @vantescnry: ""If we were to have a concert, seeing our fans, ARMY, smile would heal our souls” -Kim Taehyung please he’s so precious i…"
"- Politics eventually, but I am tired of it and want the human kind to end.
- Books I am reading.
- Some few pic of… https://t.co/Q6aosD9oRf",politics,3,"- Politics eventually, but I am tired of it and want the human kind to end. - Books I am reading. - Some few pic of… https://t.co/Q6aosD9oRf","- Politics eventually, but I am tired of it and want the human kind to end. - Books I am reading. - Some few pic of… https://t.co/Q6aosD9oRf"
Smart Cricket Ball measures your bowling performance - The #Sportcor Smartball is the work of a technology start-up… https://t.co/DeiBIrZxVs,sports,0,Smart Cricket Ball measures your bowling performance - The #Sportcor Smartball is the work of a technology start-up… https://t.co/DeiBIrZxVs,Smart Cricket Ball measures your bowling performance - The #Sportcor Smartball is the work of a technology start-up… https://t.co/DeiBIrZxVs
@Naoma_Khan_ @PlatinumJab Haha current Hindu politics that Bjp leaders isn't very suitable for our larger Community… https://t.co/dudANCJzrm,politics,3,@Naoma_Khan_ @PlatinumJab Haha(People) current Hindu politics that Bjp leaders isn't very suitable for our larger Community… https://t.co/dudANCJzrm,@Naoma_Khan_ @PlatinumJab People current Hindu politics that Bjp leaders isn't very suitable for our larger Community… https://t.co/dudANCJzrm
"Accept verdict of the Supreme Court in Imo State, Atiku advises PDP

https://t.co/qkJLrhtP6T https://t.co/9SZBjq0dZc",politics,3,"Accept verdict of the Supreme Court(Court) in Imo State, Atiku(Former Vice President of Nigeria) advises PDP https://t.co/qkJLrhtP6T https://t.co/9SZBjq0dZc","Accept verdict of Court in Imo State, Former Vice President of Nigeria advises PDP https://t.co/qkJLrhtP6T https://t.co/9SZBjq0dZc"
"RT @KissFMUK: .@LittleMix saved her 💖

https://t.co/1rOX58xJgE",entertainment,1,RT @KissFMUK: .@LittleMix saved her 💖 https://t.co/1rOX58xJgE,RT @KissFMUK: .@LittleMix saved her 💖 https://t.co/1rOX58xJgE
@newschannelnine This while we are 45th in education and lead the nation in medical bankruptcy. Votes matter people… https://t.co/QHA2TvzZI4,medical,2,@newschannelnine(Television station) This while we are 45th in education and lead the nation in medical bankruptcy. Votes matter people… https://t.co/QHA2TvzZI4,Television station This while we are 45th in education and lead the nation in medical bankruptcy. Votes matter people… https://t.co/QHA2TvzZI4
"There is a special spot in Hell for people who take MEDICAL CALLS on SPEAKERPHONE. 

#IDontWantToKnowAboutYourRash",medical,2,There is a special spot in Hell for people who take MEDICAL CALLS on SPEAKERPHONE. #IDontWantToKnowAboutYourRash,There is a special spot in Hell for people who take MEDICAL CALLS on SPEAKERPHONE. #IDontWantToKnowAboutYourRash
"RT @mcollinsNEWS: Trump, Chinese vice premier to sign 'Phase One' trade deal but details still a mystery https://t.co/s6eOq6NvAd via @USATO…",politics,3,"RT @mcollinsNEWS: Trump(Musical instrument), Chinese vice premier to sign 'Phase One' trade deal but details still a mystery https://t.co/s6eOq6NvAd via @USATO…","RT @mcollinsNEWS: Musical instrument, Chinese vice premier to sign 'Phase One' trade deal but details still a mystery https://t.co/s6eOq6NvAd via @USATO…"
#trump orders #trumpMobHit on Ukraine Ambassador #MarieYovanovitch by his donor and actively running US Congressman… https://t.co/gaPJixz6wi,politics,3,#trump(Musical instrument) orders #trump(Musical instrument)MobHit on Ukraine Ambassador #MarieYovanovitch by his donor and actively running US Congressman… https://t.co/gaPJixz6wi,#Musical instrument orders #Musical instrumentMobHit on Ukraine Ambassador #MarieYovanovitch by his donor and actively running US Congressman… https://t.co/gaPJixz6wi
"RT @ImmoralishMe: I remembered this from November.

If true, we still have some tapes to hear or see.

https://t.co/415eSRorfc",politics,3,"RT @ImmoralishMe: I remembered this from November. If true, we still have some tapes to hear or see. https://t.co/415eSRorfc","RT @ImmoralishMe: I remembered this from November. If true, we still have some tapes to hear or see. https://t.co/415eSRorfc"
"RT @amyklobuchar: Donald Trump thinks this is all about him. I think it’s about you— your health care, your schools, your lives and your fu…",politics,3,"RT @amyklobuchar: Donald Trump(45th U.S. President) thinks this is all about him. I think it’s about you— your health care, your schools, your lives and your fu…","RT @amyklobuchar: 45th U.S. President thinks this is all about him. I think it’s about you— your health care, your schools, your lives and your fu…"
"No D/N games? No games at RPSC?

Do @OfficialSLC think they can develop cricket like this? https://t.co/AvMEklR52v",sports,0,No D/N games? No games at RPSC? Do @OfficialSLC think they can develop cricket like this? https://t.co/AvMEklR52v,No D/N games? No games at RPSC? Do @OfficialSLC think they can develop cricket like this? https://t.co/AvMEklR52v
RT @moon_sunhae: This has the same energy as moonbyul figuring out how to take all the toys out of the mini game machine backstage at the H…,entertainment,1,RT @moon_sunhae: This has the same energy as moonbyul figuring out how to take all the toys out of the mini game machine backstage at the H…,RT @moon_sunhae: This has the same energy as moonbyul figuring out how to take all the toys out of the mini game machine backstage at the H…
"RT @magicfmmumbai: #ContestAlert 
Complete the bollywood dialogue and stand a chance to win couple passes for @paponmusic 's concert!
Ticke…",entertainment,1,RT @magicfmmumbai: #ContestAlert Complete the bollywood dialogue and stand a chance to win couple passes for @paponmusic(Indian playback singer) 's concert! Ticke…,RT @magicfmmumbai: #ContestAlert Complete the bollywood dialogue and stand a chance to win couple passes for Indian playback singer 's concert! Ticke…
"RT @superstar_SHIP: How to get #MONSTA_X x #SSS goods!
-Visit #MONSTA_X concert booth on 1/18(Sat)~19(Sun)!
-Play the game!
-Clear ""MX HOME…",entertainment,1,"RT @superstar_SHIP: How to get #MONSTA_X x #SSS goods! -Visit #MONSTA_X concert booth on 1/18(Sat)~19(Sun)! -Play the game! -Clear ""MX HOME…","RT @superstar_SHIP: How to get #MONSTA_X x #SSS goods! -Visit #MONSTA_X concert booth on 1/18(Sat)~19(Sun)! -Play the game! -Clear ""MX HOME…"
@nofolladado @TJVRD The lies they tell are never ending. How do they know this German dude took estrogen? Did they… https://t.co/Cbd3Ong303,medical,2,@nofolladado @TJVRD The lies they tell are never ending. How do they know this German dude took estrogen? Did they… https://t.co/Cbd3Ong303,@nofolladado @TJVRD The lies they tell are never ending. How do they know this German dude took estrogen? Did they… https://t.co/Cbd3Ong303
"RT @lachlan: Russian PM Medvedev and his government are resigning en masse, per Reuters, ""to give President Vladimir Putin room to carry ou…",politics,3,"RT @lachlan: Russian PM Medvedev and his government are resigning en masse, per Reuters(News organization company), ""to give President Vladimir Putin(Russian President) room to carry ou…","RT @lachlan: Russian PM Medvedev and his government are resigning en masse, per News organization company, ""to give President Russian President room to carry ou…"
"RT @Joshua4Congress: They are forced to leave everything they can't carry with them to *wherever* they are going.

So what's left behind is…",medical,2,RT @Joshua4Congress: They are forced to leave everything they can't carry with them to *wherever* they are going. So what's left behind is…,RT @Joshua4Congress: They are forced to leave everything they can't carry with them to *wherever* they are going. So what's left behind is…
"RT @DrHarjitBhatti: Medical fraternity never expected that a PM can stoop that low, no PM before has directly attacked the most humanitaria…",medical,2,"RT @DrHarjitBhatti: Medical fraternity never expected that a PM can stoop that low, no PM before has directly attacked the most humanitaria…","RT @DrHarjitBhatti: Medical fraternity never expected that a PM can stoop that low, no PM before has directly attacked the most humanitaria…"
apparently my shitty aunt isn’t going to her daughters wedding because she is going to a Kenny chesney concert instead....I hate this bitch,entertainment,1,apparently my shitty aunt isn’t going to her daughters wedding because she is going to a Kenny chesney(American singer-songwriter) concert instead....I hate this bitch,apparently my shitty aunt isn’t going to her daughters wedding because she is going to a American singer-songwriter concert instead....I hate this bitch
"RT @jtd_gameon12: I absolutely laugh 😂🤣😂 when these two tells us all they’re going to create jobs. Neither guy, outside of politics, ever h…",politics,3,"RT @jtd_gameon12: I absolutely laugh 😂🤣😂 when these two tells us all they’re going to create jobs. Neither guy, outside of politics, ever h…","RT @jtd_gameon12: I absolutely laugh 😂🤣😂 when these two tells us all they’re going to create jobs. Neither guy, outside of politics, ever h…"
@GadhviLaxman BIGGEST TRAITOR.. I am so happy her movie flopped.. hope all her movies flop in future.. such traitor… https://t.co/CLWyqUkxtj,entertainment,1,@GadhviLaxman BIGGEST TRAITOR.. I am so happy her movie flopped.. hope all her movies flop in future.. such traitor… https://t.co/CLWyqUkxtj,@GadhviLaxman BIGGEST TRAITOR.. I am so happy her movie flopped.. hope all her movies flop in future.. such traitor… https://t.co/CLWyqUkxtj
"RT @Stargirl: Meet Stargirl Caraway in @Stargirl, an Original Movie, streaming Mar. 13 on #DisneyPlus. https://t.co/mI12BPwuqu",entertainment,1,"RT @Stargirl: Meet Stargirl Caraway in @Stargirl, an Original Movie, streaming Mar. 13 on #DisneyPlus. https://t.co/mI12BPwuqu","RT @Stargirl: Meet Stargirl Caraway in @Stargirl, an Original Movie, streaming Mar. 13 on #DisneyPlus. https://t.co/mI12BPwuqu"
"RT @essenviews: Today Trump is signing preliminary trade agreement with China that nobody has seen. That's right, Congress, trade lawyers,…",politics,3,"RT @essenviews: Today Trump(Musical instrument) is signing preliminary trade agreement with China that nobody has seen. That's right, Congress, trade lawyers,…","RT @essenviews: Today Musical instrument is signing preliminary trade agreement with China that nobody has seen. That's right, Congress, trade lawyers,…"
"RT @NewStatesman: Lisa Nandy moved to dispel impressions she is the candidate of migration controls in a speech this afternoon, reports @pa…",politics,3,"RT @NewStatesman: Lisa Nandy(Member of Parliament of the United Kingdom) moved to dispel impressions she is the candidate of migration controls in a speech this afternoon, reports @pa…","RT @NewStatesman: Member of Parliament of the United Kingdom moved to dispel impressions she is the candidate of migration controls in a speech this afternoon, reports @pa…"
"RT @svaradarajan: The ugly spectacle of ""normalcy""! https://t.co/dhrfw59B1a via @thewire_in",politics,3,"RT @svaradarajan: The ugly spectacle of ""normalcy""! https://t.co/dhrfw59B1a via @thewire_in","RT @svaradarajan: The ugly spectacle of ""normalcy""! https://t.co/dhrfw59B1a via @thewire_in"
"QUEEN!!!!! earrings, hair, politics, all of it!

also, fuck zionists. https://t.co/xY7mbEGsOV",politics,3,"QUEEN!!!!! earrings, hair, politics, all of it! also, fuck zionists. https://t.co/xY7mbEGsOV","QUEEN!!!!! earrings, hair, politics, all of it! also, fuck zionists. https://t.co/xY7mbEGsOV"
"Would LOVE to see this info!
""The report stated that Hyde cited “a variety of different names, contacts and provide… https://t.co/GsxZW3CoWv",politics,3,"Would LOVE to see this info! ""The report stated that Hyde(City in India) cited “a variety of different names, contacts and provide… https://t.co/GsxZW3CoWv","Would LOVE to see this info! ""The report stated that City in India cited “a variety of different names, contacts and provide… https://t.co/GsxZW3CoWv"
"RT @arikring: YES WE CAN TOO!
6 Yrs Before the Deadline #Scotland Meets Emission Targets
https://t.co/J29RaTjrtj
#Energy #Climate https://t…",politics,3,RT @arikring: YES WE CAN TOO! 6 Yrs Before the Deadline #Scotland Meets Emission Targets https://t.co/J29RaTjrtj #Energy #Climate https://t…,RT @arikring: YES WE CAN TOO! 6 Yrs Before the Deadline #Scotland Meets Emission Targets https://t.co/J29RaTjrtj #Energy #Climate https://t…
@ScifiandScary @caresource I feel your pain.  My son needs medical care that is not available in the county where I… https://t.co/IWbHMpHKAj,medical,2,@ScifiandScary @caresource I feel your pain. My son needs medical care that is not available in the county where I… https://t.co/IWbHMpHKAj,@ScifiandScary @caresource I feel your pain. My son needs medical care that is not available in the county where I… https://t.co/IWbHMpHKAj
"RT @projectmarch_: #MARCHOnTheMove - i&amp;i conferentie
How can you apply computer science in medical technology? Our exoskeleton is a great e…",medical,2,RT @projectmarch_: #MARCHOnTheMove - i&amp;i conferentie How can you apply computer science in medical technology? Our exoskeleton is a great e…,RT @projectmarch_: #MARCHOnTheMove - i&amp;i conferentie How can you apply computer science in medical technology? Our exoskeleton is a great e…
"RT @babiejongdae: #lrt a soondingie tweeted “[ya’ll are asking] who’s going to kim jongdae solo con? I’m going. So everyone shut up.” 

and…",entertainment,1,RT @babiejongdae: #lrt a soondingie tweeted “[ya’ll are asking] who’s going to kim jongdae(South Korean singer-songwriter) solo con? I’m going. So everyone shut up.” and…,RT @babiejongdae: #lrt a soondingie tweeted “[ya’ll are asking] who’s going to South Korean singer-songwriter solo con? I’m going. So everyone shut up.” and…
"RT @ItoniLl: Hillary Clinton: You 'cannot be civil' with Republicans, Democrats need to be 'tougher'....NO Hillary our Government will not…",politics,3,"RT @ItoniLl: Hillary Clinton(Former United States Secretary of State): You 'cannot be civil' with Republicans, Democrats need to be 'tougher'....NO Hillary our Government will not…","RT @ItoniLl: Former United States Secretary of State: You 'cannot be civil' with Republicans, Democrats need to be 'tougher'....NO Hillary our Government will not…"
"RT @BBL_365: AB de Villiers has named the best five bowlers he’s faced in his career:

Shane Warne
Stuart Broad
Mohammad Asif
Josh Hazlewoo…",sports,0,RT @BBL_365: AB de Villiers(South African cricketer) has named the best five bowlers he’s faced in his career: Shane Warne Stuart Broad Mohammad Asif Josh Hazlewoo…,RT @BBL_365: South African cricketer has named the best five bowlers he’s faced in his career: Shane Warne Stuart Broad Mohammad Asif Josh Hazlewoo…
"RT @Ram_Guha: It's good to see a growing market outside the academy for well researched works of history, politics, sociology. But far too…",politics,3,"RT @Ram_Guha: It's good to see a growing market outside the academy for well researched works of history, politics, sociology. But far too…","RT @Ram_Guha: It's good to see a growing market outside the academy for well researched works of history, politics, sociology. But far too…"
"Jersey Shore venue can hold 7K for Trump rally, but town is expecting at least double that https://t.co/6mZnBFnvLL https://t.co/wii1NjtWAs",politics,3,"Jersey Shore(American television personality) venue can hold 7K for Trump rally, but town is expecting at least double that https://t.co/6mZnBFnvLL https://t.co/wii1NjtWAs","American television personality venue can hold 7K for Trump rally, but town is expecting at least double that https://t.co/6mZnBFnvLL https://t.co/wii1NjtWAs"
RT @mywonflower: so who has a screenshot of that loser saying svt's prudential center concert was empty? I wanna laugh about it https://t.c…,entertainment,1,RT @mywonflower: so who has a screenshot of that loser saying svt's prudential center concert was empty? I wanna laugh about it https://t.c…,RT @mywonflower: so who has a screenshot of that loser saying svt's prudential center concert was empty? I wanna laugh about it https://t.c…
@medical_xpress @UQ_News @RSocPublishing lol / as if bathing was not a thing // if you have a beard &amp; do not put be… https://t.co/BrLhHjaj84,medical,2,@medical_xpress @UQ_News @RSocPublishing lol / as if bathing was not a thing // if you have a beard &amp; do not put be… https://t.co/BrLhHjaj84,@medical_xpress @UQ_News @RSocPublishing lol / as if bathing was not a thing // if you have a beard &amp; do not put be… https://t.co/BrLhHjaj84
"RT @Tennis: Tennis Australia said last night's ""Rally for Relief"" helped raise nearly 5 million Australian dollars ($3.5 million), with @Ni…",sports,0,"RT @Tennis: Tennis Australia said last night's ""Rally for Relief"" helped raise nearly 5 million Australian dollars ($3.5 million), with @Ni…","RT @Tennis: Tennis Australia said last night's ""Rally for Relief"" helped raise nearly 5 million Australian dollars ($3.5 million), with @Ni…"
RT @HaroonsMusic: The spirit of cricket  award at the #ICCAwards should have collectively gone to NZ for how they reacted to Ben Stokes fre…,sports,0,RT @HaroonsMusic: The spirit of cricket award at the #ICCAwards should have collectively gone to NZ(Country in Oceania) for how they reacted to Ben Stokes(Cricketer) fre…,RT @HaroonsMusic: The spirit of cricket award at the #ICCAwards should have collectively gone to Country in Oceania for how they reacted to Cricketer fre…
@SGanguly99 @imVkohli @BCCI @My11Circle I totally agree. They gonna play new brand of cricket in coming ODIs.,sports,0,@SGanguly99 @imVkohli @BCCI @My11Circle I totally agree. They gonna play new brand of cricket in coming ODIs.,@SGanguly99 @imVkohli @BCCI @My11Circle I totally agree. They gonna play new brand of cricket in coming ODIs.
"RT @markwatt123: One of the nicest guys in cricket, massively deserved and a great leader of our team💪🏼 Many more years of blasting them to…",sports,0,"RT @markwatt123: One of the nicest guys in cricket, massively deserved and a great leader of our team💪🏼 Many more years of blasting them to…","RT @markwatt123: One of the nicest guys in cricket, massively deserved and a great leader of our team💪🏼 Many more years of blasting them to…"
"RT @JordanSchachtel: Let me just say I have my doubts about this narrative.
https://t.co/J8BrPpgyYI",politics,3,RT @JordanSchachtel: Let me just say I have my doubts about this narrative. https://t.co/J8BrPpgyYI,RT @JordanSchachtel: Let me just say I have my doubts about this narrative. https://t.co/J8BrPpgyYI
"@miller_cricket @AliIftekhar1 @ESPNcricinfo no way, I've used a wrench as a hammer plenty of times, can't use a hammer as a wrench though 😉",sports,0,"@miller_cricket @AliIftekhar1 @ESPNcricinfo no way, I've used a wrench as a hammer plenty of times, can't use a hammer as a wrench though 😉","@miller_cricket @AliIftekhar1 @ESPNcricinfo no way, I've used a wrench as a hammer plenty of times, can't use a hammer as a wrench though 😉"
@lucid_unicorn said I have taste even thought I wrote a quick informal movie review. So bye hoes,entertainment,1,@lucid_unicorn said I have taste even thought I wrote a quick informal movie review. So bye hoes,@lucid_unicorn said I have taste even thought I wrote a quick informal movie review. So bye hoes
